Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-01,9.61406455390456,10.043443803589492,9.61406455390456,9.781790733337402,14048671,0.0,0.0
2016-07-04,9.822045476247917,10.123952476743376,9.81533627539089,10.023316383361816,10768155,0.0,0.0
2016-07-05,10.06357255497926,10.164208024599168,9.801919438212904,9.855591773986816,6921917,0.0,0.0
2016-07-06,9.902554519717038,9.949517648687998,9.65431983257466,9.754955291748047,8341835,0.0,0.0
2016-07-07,9.768372950415452,10.197751559340572,9.768372950415452,10.036734580993652,11623070,0.0,0.0
2016-07-08,9.996480479848563,10.130661941181799,9.92939038900657,9.942808151245117,8809466,0.0,0.0
2016-07-11,10.600294011420635,10.600294011420635,9.915970934613402,9.949516296386719,7073369,0.0,0.0
2016-07-12,10.063571078384905,10.09040724233428,9.835463364902909,10.056861877441406,4468136,0.0,0.0
2016-07-13,10.070278268512508,10.123950585694063,9.936097475558624,10.063569068908691,4496459,0.0,0.0
2016-07-14,10.036734914435531,10.103825644221276,9.956226422587406,10.056861877441406,3294992,0.0,0.0
2016-07-15,10.056861441290039,10.083697604075569,10.00989831637151,10.04344367980957,2926189,0.0,0.0
2016-07-18,10.056861649493792,10.479531701984723,9.98306236026189,10.325223922729492,7590516,0.0,0.0
2016-07-19,10.475062100296,10.475062100296,10.257115634079,10.3660888671875,6244443,0.23,0.0
2016-07-20,10.36608975475595,10.41376538594009,10.161764600416872,10.195818901062012,4225220,0.0,0.0
2016-07-21,10.250304946816788,10.434197120725795,10.175385359697207,10.406953811645508,7671800,0.0,0.0
2016-07-22,10.441007802566668,10.611278641681626,10.297980271728834,10.3660888671875,6740428,0.0,0.0
2016-07-25,10.386522690573116,10.515928261251839,10.195819505008545,10.250306129455566,3403061,0.0,0.0
2016-07-26,10.25711692192546,10.42738778241901,10.20262964899828,10.325224876403809,3656994,0.0,0.0
2016-07-27,10.325224642591495,10.352467953672273,9.31722148307093,9.89614200592041,9818614,0.0,0.0
2016-07-28,9.896141744249288,10.066412596384838,9.467059118923892,9.787168502807617,7763873,0.0,0.0
2016-07-29,9.780356936711758,9.793978915855426,9.26273407035497,9.317220687866211,7240130,0.0,0.0
